Store,mean_sales_open,median_sales_open,mean_customers,open_days,StoreType,Assortment,CompetitionDistance,CompetitionOpenSinceMonth,CompetitionOpenSinceYear,CompetitionDistanceMissing
1,4759.096030729834,4647.0,564.0499359795134,781,c,a,1270.0,9.0,2008.0,0
2,4953.900510204082,4783.0,583.9987244897959,784,a,a,570.0,11.0,2007.0,0
3,6942.568677792041,6619.0,750.0770218228498,779,a,a,14130.0,12.0,2006.0,0
4,9638.401785714286,9430.5,1321.7525510204082,784,c,c,620.0,9.0,2009.0,0
5,4676.274711168165,4616.0,537.3401797175867,779,a,a,29910.0,4.0,2015.0,0
6,5509.946153846154,5462.5,635.2346153846154,780,a,a,310.0,12.0,2013.0,0
7,8817.050890585242,8494.0,948.5610687022901,786,a,c,24000.0,4.0,2013.0,0
8,5539.3584183673465,5356.0,658.1977040816327,784,a,a,7520.0,10.0,2014.0,0
9,6562.337612323492,6215.0,579.8164313222079,779,a,c,2030.0,8.0,2000.0,0
10,5568.4209183673465,5395.5,593.9553571428571,784,a,a,3160.0,9.0,2009.0,0
11,8030.977040816327,7571.5,1130.091836734694,784,a,c,960.0,11.0,2011.0,0
12,7589.598214285715,7171.5,896.952806122449,784,a,c,1070.0,,,0
13,5034.747181964573,4719.0,382.8341384863124,621,d,a,310.0,,,0
14,5508.567394094994,5391.0,631.4672657252888,779,a,a,1300.0,3.0,2014.0,0
15,6672.844387755102,6418.0,663.4017857142857,784,d,c,4110.0,3.0,2010.0,0
16,7680.683397683398,7478.0,852.4774774774775,777,a,c,3270.0,,,0
17,6335.6624040920715,5997.0,791.6751918158568,782,a,a,50.0,12.0,2005.0,0
18,6560.277493606138,6362.5,713.2800511508951,782,d,c,13840.0,6.0,2010.0,0
19,6464.915275994866,6247.0,624.6700898587933,779,a,c,3240.0,,,0
20,7756.9353796445885,7804.0,848.5589660743134,619,d,a,2340.0,5.0,2009.0,0
21,5482.320463320463,5278.0,516.3616473616473,777,c,c,550.0,10.0,1999.0,0
22,4525.857835218094,4311.0,504.2471728594507,619,a,a,1040.0,,,0
23,5520.281129653402,5181.0,482.43645699614893,779,d,a,4060.0,8.0,2005.0,0
24,9388.28626444159,8875.0,835.4300385109115,779,a,c,4590.0,3.0,2000.0,0
25,11139.038563829787,10808.0,1566.186170212766,752,c,a,430.0,4.0,2003.0,0
26,6671.695652173913,6363.5,556.0728900255755,782,d,a,2300.0,,,0
27,9478.57381258023,8684.0,1074.7586649550706,779,a,a,60.0,1.0,2005.0,0
28,5293.060959792478,5036.0,581.3177691309987,771,a,a,1200.0,10.0,2014.0,0
29,7364.775353016688,6887.0,653.7008985879332,779,d,c,2170.0,,,0
30,5294.782496782497,5149.0,777.1274131274131,777,a,a,40.0,2.0,2014.0,0
31,5862.427295918367,5716.5,586.0510204081633,784,d,c,9800.0,7.0,2012.0,0
32,4067.8212560386473,3896.0,477.1867954911433,621,a,a,2910.0,,,0
33,8436.659820282413,8248.0,836.3093709884467,779,a,c,1320.0,5.0,2013.0,0
34,8031.485969387755,7807.5,993.4591836734694,784,c,a,2240.0,9.0,2009.0,0
35,9703.071887034659,9127.0,729.6546854942234,779,d,c,7660.0,10.0,2000.0,0
36,9363.638263665594,9234.5,1090.3183279742766,622,a,c,540.0,6.0,2003.0,0
37,7114.170512820513,7102.5,781.0910256410257,780,c,a,4230.0,12.0,2014.0,0
38,6004.643132220795,5903.0,535.3453145057766,779,d,a,1090.0,4.0,2007.0,0
39,4852.571245186136,4391.0,629.6161745827984,779,a,a,260.0,10.0,2006.0,0
40,4902.3389175257735,4865.0,663.8208762886597,776,a,a,180.0,,,0
41,5335.059485530546,5187.5,397.959807073955,622,d,c,1180.0,,,0
42,10178.136071887035,9631.0,1100.0487804878048,779,a,c,290.0,,,0
43,6822.9139922978175,6554.0,610.1591784338896,779,d,a,4880.0,,,0
44,5478.5,5159.0,640.0586734693877,784,a,a,540.0,6.0,2011.0,0
45,5348.469833119384,5340.0,415.38125802310657,779,d,a,9710.0,2.0,2014.0,0
46,5352.290996784566,5098.0,660.5016077170418,622,c,a,1200.0,9.0,2005.0,0
47,7145.102040816327,6862.0,920.6505102040817,784,a,c,270.0,4.0,2013.0,0
48,3934.966836734694,3840.0,429.2334183673469,784,a,a,1060.0,5.0,2012.0,0
49,7304.113256113256,7041.0,531.7078507078508,777,d,c,18010.0,9.0,2007.0,0
50,4256.070603337613,4198.0,358.7997432605905,779,d,a,6260.0,11.0,2009.0,0
51,6675.286173633441,6583.5,496.9871382636656,622,a,c,10570.0,7.0,2013.0,0
52,7407.945337620578,7178.0,503.4983922829582,622,d,c,450.0,4.0,2014.0,0
53,5264.807397959184,5143.0,566.7091836734694,784,a,c,30360.0,9.0,2013.0,0
54,7907.538853503184,7984.0,730.4789808917197,785,d,c,7170.0,8.0,2014.0,0
55,4598.989743589744,4299.0,558.9641025641025,780,a,a,720.0,11.0,2004.0,0
56,7321.754161331626,7238.0,506.93854033290654,781,d,c,6620.0,3.0,2012.0,0
57,10591.73116883117,9757.5,988.5207792207792,770,d,c,420.0,6.0,2014.0,0
58,6336.158908507223,5962.0,513.1476725521669,623,a,c,7340.0,5.0,2008.0,0
59,5501.312020460358,5386.5,564.0153452685422,782,a,c,2840.0,6.0,2007.0,0
60,8033.087179487179,7460.5,713.473076923077,780,d,c,5540.0,10.0,2009.0,0
61,4722.005148005148,4574.0,571.7387387387388,777,a,c,350.0,12.0,2007.0,0
62,6503.86649550706,6491.0,717.9833119383825,779,a,a,2050.0,,,0
63,6956.3877551020405,6858.0,638.8520408163265,784,c,c,3700.0,6.0,2010.0,0
64,10359.525032092426,10085.0,792.8536585365854,779,d,c,22560.0,,,0
65,5112.8948717948715,4985.0,455.9,780,a,c,13840.0,5.0,2010.0,0
66,6114.360360360361,5991.0,524.056628056628,777,d,a,7660.0,,,0
67,7828.930501930502,7401.0,798.3230373230373,777,a,c,410.0,2.0,2006.0,0
68,7563.252551020408,7135.5,1151.954081632653,784,a,c,250.0,,,0
69,9426.451984635083,9042.0,1183.663252240717,781,c,c,1130.0,,,0
70,6608.028132992327,6296.0,679.0971867007672,782,c,c,4840.0,,,0
71,9061.09756097561,8514.0,746.9204107830552,779,a,a,17500.0,8.0,2008.0,0
72,4420.025682182985,3960.0,474.86035313001605,623,a,a,2200.0,12.0,2009.0,0
73,4576.978316326531,4528.0,494.13520408163265,784,a,c,1650.0,9.0,2008.0,0
74,6256.630154639175,5832.5,854.2229381443299,776,a,a,330.0,,,0
75,6023.4540816326535,5847.0,642.140306122449,784,d,c,22440.0,12.0,2013.0,0
76,8999.54735152488,8573.0,928.0963081861959,623,d,c,19960.0,3.0,2006.0,0
77,7621.489116517286,7428.0,662.8335467349552,781,d,c,1090.0,8.0,2009.0,0
78,3717.473076923077,3588.0,494.85897435897436,780,a,a,3510.0,11.0,2006.0,0
79,5474.240669240669,5058.0,560.4877734877734,777,a,a,3320.0,,,0
80,7616.2734274711165,7616.0,577.7458279845956,779,d,a,7910.0,,,0
81,6985.688102893891,6814.0,561.4983922829582,622,a,a,2370.0,3.0,2011.0,0
82,9019.653401797175,8668.0,838.5596919127086,779,a,a,22390.0,4.0,2008.0,0
83,3887.7060333761233,3725.0,345.8395378690629,779,a,a,2710.0,,,0
84,12955.997432605905,12213.0,1392.3106546854942,779,a,c,11810.0,8.0,2014.0,0
85,7272.454352441614,6622.0,1015.4012738853503,942,b,a,1870.0,10.0,2011.0,0
86,4695.021850899743,4374.0,604.9601542416452,778,a,a,480.0,2.0,2005.0,0
87,5865.161989795918,5838.5,737.4477040816327,784,a,a,560.0,12.0,2010.0,0
88,6024.433333333333,5949.0,613.4910256410257,780,a,a,10690.0,10.0,2005.0,0
89,5971.33922829582,5846.5,624.1752411575562,622,a,a,2380.0,7.0,2004.0,0
90,8416.768637532134,7909.5,1057.060411311054,778,a,a,330.0,11.0,2007.0,0
91,5559.002570694088,5335.0,613.9305912596401,778,c,a,2410.0,,,0
92,5996.684210526316,5719.0,547.0577663671373,779,c,a,240.0,,,0
93,5965.175866495507,5968.0,603.5545571245186,779,a,a,16690.0,,,0
94,7121.14377406932,6641.0,640.1437740693196,779,d,c,14620.0,,,0
95,7638.54358974359,7303.5,843.7192307692308,780,a,a,1890.0,10.0,2014.0,0
96,5176.888461538461,4861.5,542.774358974359,780,a,a,8780.0,2.0,2005.0,0
97,6703.3961538461535,6500.5,688.8307692307692,780,d,c,8980.0,,,0
98,5109.863928112965,4957.0,451.5853658536585,779,d,c,15140.0,12.0,2006.0,0
99,5130.520900321543,4971.5,465.5209003215434,622,c,c,2030.0,11.0,2003.0,0
100,7964.412541254125,7754.0,686.2194719471947,606,d,a,17930.0,,,0
101,7469.877551020408,7273.5,777.155612244898,784,d,c,2440.0,,,0
102,7061.162127107653,6559.0,1048.9857328145265,771,a,a,150.0,12.0,2007.0,0
103,4689.497622820919,4555.0,421.6164817749604,631,d,c,5210.0,5.0,2015.0,0
104,10126.536989795919,9915.0,1312.3775510204082,784,a,a,390.0,6.0,2009.0,0
105,4441.3673740053055,4271.0,515.0490716180371,754,a,c,6190.0,,,0
106,8668.81935483871,8567.0,825.6477419354839,775,a,a,1390.0,8.0,2013.0,0
107,7336.589285714285,7134.5,955.3112244897959,784,a,a,1930.0,9.0,2009.0,0
108,11035.360128617363,10642.0,848.7813504823151,622,d,c,2190.0,9.0,2003.0,0
109,6464.323979591837,6137.0,742.3762755102041,784,a,c,3300.0,11.0,2010.0,0
110,4534.429846938776,4410.0,587.4387755102041,784,a,c,46590.0,4.0,2013.0,0
111,6771.745198463508,6618.0,597.6747759282971,781,d,c,7890.0,,,0
112,6229.448979591837,6075.5,775.9936224489796,784,a,a,1630.0,9.0,2009.0,0
113,7199.077170418006,6917.0,699.3135048231511,622,d,c,20930.0,11.0,1999.0,0
114,5346.559948979592,5187.5,608.125,784,c,a,4510.0,,,0
115,7371.689710610933,7152.5,552.0450160771704,622,d,c,5740.0,4.0,2007.0,0
116,7294.54533844189,7096.0,758.2477650063857,783,a,a,680.0,4.0,2013.0,0
117,3881.956354300385,3786.0,492.06546854942235,779,a,a,3450.0,9.0,2011.0,0
118,7781.606138107417,7425.0,675.5460358056266,782,d,c,3580.0,9.0,2012.0,0
119,6005.085459183673,5759.5,664.9642857142857,784,a,c,2100.0,2.0,2010.0,0
120,7110.102432778489,6767.0,638.1959026888604,781,d,a,2290.0,12.0,2014.0,0
121,4453.171794871795,4462.0,504.1128205128205,780,a,a,3570.0,11.0,2009.0,0
122,6462.014689265537,6176.0,793.780790960452,885,a,c,58260.0,4.0,2013.0,0
123,8399.204427083334,8001.0,959.77734375,768,a,a,16760.0,9.0,2011.0,0
124,4424.1463414634145,4401.0,525.6829268292682,779,a,a,1410.0,4.0,2003.0,0
125,11836.848214285714,11418.0,1573.9413265306123,784,a,a,760.0,12.0,2005.0,0
126,6507.75353016688,5919.0,543.8125802310655,779,d,a,3370.0,10.0,2014.0,0
127,5238.154093097914,5164.0,659.7479935794543,623,d,a,1350.0,12.0,2005.0,0
128,7454.672215108835,7129.0,594.6824583866837,781,d,c,2000.0,,,0
129,9208.120578778135,8768.5,1165.4630225080386,622,a,a,2460.0,,,0
130,5121.062740076824,4953.0,573.7451984635084,781,c,a,900.0,,,0
131,5275.404364569961,5057.0,558.8973042362003,779,c,a,920.0,7.0,2015.0,0
132,6283.255627009647,6094.5,582.4051446945338,622,d,c,1040.0,,,0
133,6467.759590792839,6276.5,758.8273657289003,782,a,a,270.0,8.0,2013.0,0
134,4725.8915816326535,4758.5,494.5969387755102,784,a,a,1200.0,9.0,2008.0,0
135,5952.416133162612,5906.0,539.7810499359795,781,d,a,5190.0,,,0
136,5488.818327974276,5049.5,423.98070739549837,622,a,c,2200.0,12.0,2010.0,0
137,8274.98231511254,8054.0,957.2813504823151,622,a,a,1730.0,7.0,2015.0,0
138,7334.917948717949,7139.0,714.4435897435898,780,a,c,25360.0,10.0,2014.0,0
139,6464.1495176848875,6207.0,513.8151125401929,622,a,a,1700.0,1.0,2008.0,0
140,7469.049935979513,7181.0,963.6120358514725,781,a,c,1090.0,7.0,2010.0,0
141,5540.741312741313,5235.0,611.8983268983269,777,c,c,1540.0,,,0
142,4603.965340179718,4515.0,568.7355584082156,779,a,a,1090.0,7.0,2002.0,0
143,6314.756097560976,5954.0,582.0423620025674,779,d,a,2930.0,12.0,2002.0,0
144,7718.2064,7525.0,728.8896,625,a,c,16570.0,,,0
145,8342.263157894737,7833.0,1267.7861842105262,608,a,a,280.0,,,0
146,7812.83055198973,7395.0,702.4223363286264,779,d,c,8050.0,10.0,1961.0,0
147,8212.558408215662,7977.0,879.6161745827984,779,d,c,8540.0,,,0
148,8638.96556122449,8320.0,819.4770408163265,784,a,a,2090.0,12.0,2008.0,0
149,5567.483922829582,5312.0,486.21864951768487,622,d,a,2610.0,7.0,2006.0,0
150,8417.24107142857,8039.0,820.3966836734694,784,c,c,31830.0,3.0,2010.0,0
151,6755.764102564102,6479.5,652.0076923076923,780,d,c,4360.0,10.0,2005.0,0
152,5541.939666238768,5181.0,621.403080872914,779,a,a,1780.0,,,0
153,7066.812580231065,6493.0,633.8793324775353,779,a,a,16240.0,10.0,2000.0,0
154,8737.57362355954,8291.0,737.4302176696543,781,d,c,16420.0,,,0
155,6886.852327447833,6847.0,660.3081861958267,623,d,a,3050.0,,,0
156,6961.611253196931,6703.0,712.6202046035805,782,a,a,2020.0,2.0,2011.0,0
157,9722.790757381257,9202.0,989.8305519897305,779,a,c,2950.0,10.0,2004.0,0
158,8156.865211810013,8060.0,519.9845956354301,779,d,c,11840.0,,,0
159,7748.60834670947,7309.0,695.9727126805778,623,d,a,8530.0,3.0,2013.0,0
160,5730.658130601792,5476.0,559.1843790012804,781,d,c,17110.0,11.0,2005.0,0
161,7252.598202824133,7026.0,819.2182284980745,779,a,c,2970.0,3.0,2005.0,0
162,7768.131882202305,7479.0,555.6952624839948,781,d,c,5340.0,3.0,2012.0,0
163,7298.706632653061,6998.5,870.8048469387755,784,a,a,1480.0,4.0,2009.0,0
164,6210.218298555377,5764.0,633.4333868378812,623,a,a,1160.0,9.0,2005.0,0
165,3996.8344051446948,3836.5,422.65434083601286,622,a,a,3720.0,4.0,2005.0,0
166,5819.24646983312,5558.0,817.2682926829268,779,a,c,100.0,4.0,2014.0,0
167,9295.779487179487,8773.0,1055.1846153846154,780,a,a,140.0,4.0,2008.0,0
168,7517.148005148005,7184.0,731.2445302445302,777,a,a,12540.0,,,0
169,7218.92819843342,7058.0,687.9164490861618,766,d,a,980.0,7.0,2014.0,0
170,5009.441591784339,4771.0,543.7625160462131,779,a,a,1070.0,5.0,2015.0,0
171,8429.147625160462,7891.0,867.2451861360719,779,a,a,2640.0,,,0
172,6981.672025723473,6809.0,868.9019292604502,622,a,a,110.0,,,0
173,8232.783163265307,7922.5,1006.5369897959183,784,a,a,350.0,12.0,2012.0,0
174,5936.540192926045,5818.5,479.5225080385852,622,a,a,13090.0,,,0
175,5784.548469387755,5717.0,690.7079081632653,784,c,a,4130.0,,,0
176,5278.177150192554,5019.0,631.9987163029525,779,a,a,3770.0,,,0
177,3994.096153846154,3986.5,485.2769230769231,780,a,a,1250.0,2.0,2004.0,0
178,10089.92564102564,9459.0,923.5653846153846,780,d,a,1710.0,,,0
179,7295.274711168165,6741.0,955.8318356867779,779,a,c,480.0,,,0
180,7220.061224489796,7054.0,843.2385204081633,784,d,a,5800.0,9.0,2010.0,0
181,6382.698234349919,5864.0,668.7897271268058,623,a,a,12610.0,3.0,2013.0,0
182,5304.654289372599,5161.0,417.79385403329064,781,d,c,1390.0,,,0
183,4821.335515548281,4634.0,601.0360065466449,611,a,a,9670.0,,,0
184,6594.2972972972975,6310.0,595.6679536679536,777,d,c,3560.0,,,0
185,7170.617346938776,6891.0,545.2283163265306,784,d,c,1860.0,5.0,2015.0,0
186,3783.83922829582,3647.5,381.0594855305466,622,a,a,290.0,10.0,2011.0,0
187,6279.7334183673465,6067.0,775.7079081632653,784,a,c,19360.0,,,0
188,4986.952503209242,4803.0,438.2400513478819,779,d,a,850.0,,,0
189,8762.929396662388,8553.0,837.1258023106546,779,d,a,5760.0,7.0,2014.0,0
190,7198.954983922829,6939.0,656.104501607717,622,a,a,1470.0,12.0,2006.0,0
191,6838.9372990353695,6761.0,713.8585209003215,622,a,a,1100.0,8.0,2013.0,0
192,9016.834405144695,8453.0,645.4131832797427,622,d,c,2770.0,3.0,2008.0,0
193,5362.036036036036,4793.0,781.6589446589446,777,a,a,520.0,,,0
194,4829.492921492922,4681.0,417.6499356499356,777,d,c,16970.0,,,0
195,10713.17971758665,10527.0,1298.4403080872914,779,a,c,220.0,,,0
196,5216.3363171355495,4986.5,696.8529411764706,782,c,a,3850.0,11.0,2005.0,0
197,6846.668367346939,6554.0,842.280612244898,784,c,a,4210.0,3.0,2015.0,0
198,2900.6048593350383,2526.0,338.4782608695652,782,a,a,290.0,9.0,2002.0,0
199,7955.697047496791,7641.0,624.5827984595635,779,d,c,6360.0,12.0,2010.0,0
200,7729.5442875481385,7487.0,967.6534017971759,779,a,a,1650.0,10.0,2000.0,0
201,5249.351732991014,5197.0,444.21566110397947,779,d,a,20260.0,,,0
202,6065.797695262484,5891.0,509.39180537772086,781,d,c,5140.0,5.0,2010.0,0
203,6775.240409207161,6302.0,882.5498721227622,782,c,c,490.0,11.0,2002.0,0
204,5486.247588424438,5329.0,524.1784565916398,622,a,a,5630.0,12.0,2002.0,0
205,6536.820153061224,6146.5,879.1862244897959,784,a,a,110.0,12.0,2007.0,0
206,7157.551989730424,6896.0,799.9050064184852,779,a,c,380.0,,,0
207,11184.206632653062,10431.0,1300.3813775510205,784,a,a,6870.0,,,0
208,2936.2908163265306,2927.5,413.4719387755102,784,c,a,300.0,4.0,2006.0,0
209,5587.78231292517,5598.0,577.1916099773242,882,a,c,11680.0,9.0,2011.0,0
210,3193.98459563543,3116.0,326.25930680359437,779,d,a,970.0,11.0,1999.0,0
211,12994.345663265307,12582.0,1485.8048469387754,784,a,c,350.0,11.0,2006.0,0
212,4775.656887755102,4562.0,460.7576530612245,784,a,c,15050.0,9.0,2008.0,0
213,8131.0410783055195,7659.0,652.6662387676508,779,d,c,4030.0,3.0,2014.0,0
214,9331.875481386392,9231.0,715.4505776636714,779,d,a,8650.0,7.0,2013.0,0
215,6313.492753623188,6202.0,490.28341384863126,621,d,a,150.0,,,0
216,7226.775773195876,6927.5,887.6726804123712,776,c,a,190.0,,,0
217,4700.8877551020405,4533.5,642.8801020408164,784,c,a,3150.0,,,0
218,5018.577170418006,5099.5,696.3987138263666,622,a,c,640.0,,,0
219,3133.712451861361,3138.0,406.4441591784339,779,a,a,1640.0,2.0,2013.0,0
220,4906.432989690722,4652.0,644.6237113402062,776,a,a,1000.0,9.0,2008.0,0
221,5821.838010204082,5608.0,552.75,784,d,c,13530.0,9.0,2013.0,0
222,4982.456632653061,4793.0,561.5637755102041,784,a,a,2170.0,11.0,2008.0,0
223,7232.875959079284,6829.5,738.7161125319693,782,d,c,2920.0,10.0,1995.0,0
224,6629.749034749035,6382.0,478.66023166023166,777,d,c,7930.0,,,0
225,5197.0,4967.5,556.3260869565217,782,d,a,10180.0,5.0,2015.0,0
226,7257.290653008963,6992.0,703.01152368758,781,a,a,450.0,,,0
227,6020.447916666667,5776.0,561.15625,768,a,a,2370.0,,,0
228,7946.139922978177,7832.0,593.1168164313223,779,d,c,10800.0,,,0
229,8645.36328626444,8274.0,734.2516046213094,779,d,c,17410.0,4.0,2007.0,0
230,7561.640306122449,7294.5,940.2270408163265,784,d,c,6680.0,9.0,2013.0,0
231,4770.279742765273,4720.0,394.5016077170418,622,d,c,3840.0,10.0,2008.0,0
232,3372.351174934726,3226.0,303.8355091383812,766,c,c,13570.0,5.0,2010.0,0
233,9431.089628681179,9109.0,1031.6658130601793,781,a,a,1890.0,,,0
234,11072.315789473685,10247.0,1024.721437740693,779,d,a,4370.0,,,0
235,5935.44814340589,5555.0,501.12932138284253,781,a,a,5710.0,3.0,2012.0,0
236,7119.563775510204,7069.0,864.7882653061224,784,a,a,1000.0,11.0,2007.0,0
237,4535.991071428572,4462.0,574.7308673469388,784,a,a,1420.0,11.0,2007.0,0
238,7661.718015665796,7498.0,1101.3577023498694,766,a,a,320.0,,,0
239,5071.210526315789,4921.0,472.0680359435173,779,d,c,610.0,,,0
240,4812.035714285715,4688.5,459.75382653061223,784,a,a,1110.0,5.0,2009.0,0
241,6583.227214377407,6356.0,704.7188703465982,779,d,c,780.0,,,0
242,4093.0947503201023,3742.0,365.84635083226635,781,d,a,6880.0,9.0,2001.0,0
243,7074.07062600321,6466.0,953.4670947030497,623,a,a,310.0,,,0
244,5271.098844672657,5051.0,540.3427471116817,779,d,a,710.0,3.0,2012.0,0
245,8897.663252240716,8688.0,1020.7567221510883,781,a,c,1310.0,,,0
246,7081.054846938776,6868.0,937.2997448979592,784,c,a,4660.0,4.0,2013.0,0
247,8576.710627400767,8187.0,683.966709346991,781,d,c,70.0,11.0,2010.0,0
248,8362.170918367347,7810.0,1112.5357142857142,784,a,c,340.0,9.0,2012.0,0
249,5285.823979591837,5076.0,537.734693877551,784,d,c,18010.0,9.0,2014.0,0
250,8470.623559539052,8061.0,657.9385403329065,781,d,a,3520.0,,,0
251,19123.068035943517,18566.0,2450.4929396662387,779,a,c,340.0,,,0
252,10615.512195121952,10052.0,809.630295250321,779,d,c,22330.0,,,0
253,5746.724005134788,5246.0,690.7137355584082,779,a,c,250.0,,,0
254,3005.9833119383825,3008.0,258.6739409499358,779,d,a,330.0,3.0,2008.0,0
255,6271.130937098845,6151.0,640.3632862644416,779,c,c,4630.0,3.0,2011.0,0
256,9832.87886597938,9340.5,1247.194587628866,776,a,c,80.0,9.0,2005.0,0
257,5335.585459183673,5411.5,632.0102040816327,784,a,a,420.0,12.0,2012.0,0
258,5642.096463022508,5451.0,493.88585209003213,622,a,a,27190.0,7.0,2010.0,0
259,11643.638412017168,11448.5,2372.296137339056,932,b,b,210.0,,,0
260,6559.997448979592,6484.0,911.4489795918367,784,a,a,540.0,10.0,2011.0,0
261,12616.487804878048,11048.0,948.9345314505777,779,d,c,15340.0,4.0,2015.0,0
262,20718.51592356688,19415.5,3402.0106157112527,942,b,a,1180.0,5.0,2013.0,0
263,3707.516077170418,3588.0,355.85530546623795,622,a,c,1140.0,5.0,2013.0,0
264,7234.240157480315,6830.0,954.3753280839895,762,a,a,180.0,3.0,2014.0,0
265,4954.829268292683,4759.0,503.25545571245186,779,a,a,4580.0,,,0
266,4389.757692307692,4336.5,531.3884615384616,780,a,c,360.0,3.0,2014.0,0
267,9289.160714285714,8949.0,1124.515306122449,784,c,a,2460.0,1.0,2012.0,0
268,4881.173469387755,4586.5,598.0293367346939,784,a,a,4520.0,2.0,2014.0,0
269,9346.706033376124,8588.0,1231.1001283697049,779,a,c,60.0,6.0,2015.0,0
270,9291.623724489797,9074.5,1205.0676020408164,784,a,a,1450.0,7.0,2014.0,0
271,7841.691025641026,7372.0,791.8602564102564,780,a,a,420.0,,,0
272,6237.314980793854,5749.0,629.5608194622279,781,a,a,16180.0,7.0,2003.0,0
273,7059.648267008986,6613.0,703.6521181001284,779,a,c,8480.0,,,0
274,4070.8283261802576,3608.0,992.7414163090128,932,b,b,3640.0,,,0
275,7443.842443729904,7193.5,749.2974276527331,622,d,a,300.0,5.0,2014.0,0
276,4091.1948717948717,4072.5,520.9487179487179,780,a,a,2960.0,10.0,2014.0,0
277,6444.519292604502,6069.5,535.2459807073955,622,d,c,7840.0,,,0
278,7142.1670918367345,6960.0,792.5994897959183,784,a,c,9260.0,2.0,2010.0,0
279,8881.08988764045,8351.0,667.5329052969503,623,d,c,2320.0,,,0
