Store,mean_sales_open,median_sales_open,mean_customers,open_days,StoreType,Assortment,CompetitionDistance,CompetitionOpenSinceMonth,CompetitionOpenSinceYear,CompetitionDistanceMissing
280,6267.489060489061,6085.0,521.0592020592021,777,d,c,18640.0,9.0,2013.0,0
281,5860.617346938776,5725.0,549.6543367346939,784,d,c,6970.0,9.0,2011.0,0
282,4408.584183673469,4279.0,640.983418367347,784,a,a,1220.0,12.0,2010.0,0
283,7114.1591639871385,6953.5,718.3263665594856,622,a,a,2260.0,,,0
284,5413.250803858521,5368.5,449.93247588424435,622,d,a,1290.0,,,0
285,5154.924455825864,5104.0,470.2381562099872,781,a,a,2410.0,,,0
286,4927.8202824133505,4544.0,430.45571245186136,779,a,a,1460.0,4.0,2015.0,0
287,8152.400321543409,8081.5,818.9983922829582,622,c,a,2740.0,5.0,2009.0,0
288,5625.733118971061,5325.5,422.5176848874598,622,d,a,800.0,,,0
289,6321.227912932139,6135.0,553.7093469910371,781,d,a,6540.0,12.0,2007.0,0
290,7014.1578947368425,6628.0,682.7060333761233,779,a,a,4150.0,5.0,2001.0,0
291,8023.039743589744,7777.5,840.35,780,d,a,,,,1
292,5774.090078328982,5695.5,706.5221932114882,766,a,a,1100.0,6.0,2009.0,0
293,6257.765006385696,5907.0,815.3754789272031,783,c,c,140.0,11.0,2007.0,0
294,5770.280409731114,5702.0,766.0243277848912,781,a,a,3150.0,5.0,2005.0,0
295,5285.4311454311455,5050.0,670.980694980695,777,a,a,210.0,11.0,2000.0,0
296,6963.460947503201,6663.0,754.8079385403329,781,a,a,9580.0,5.0,2007.0,0
297,6992.070785070785,6532.0,719.9305019305019,777,a,a,2300.0,9.0,2010.0,0
298,8398.617363344052,8218.0,691.2845659163987,622,d,a,19840.0,7.0,2009.0,0
299,6235.306122448979,5884.5,682.8287981859411,882,d,c,38630.0,9.0,2012.0,0
300,7077.595907928388,6871.0,878.6918158567775,782,a,c,120.0,4.0,2009.0,0
301,5538.441326530612,5431.5,596.1428571428571,784,a,c,4510.0,3.0,2015.0,0
302,3742.2842509603074,3727.0,323.3393085787452,781,d,c,2190.0,12.0,2007.0,0
303,6180.086049543676,5861.0,673.122555410691,767,a,a,15430.0,11.0,2012.0,0
304,7067.702806122449,6832.0,1055.938775510204,784,a,a,1950.0,7.0,2015.0,0
305,5347.341869398208,5081.0,507.4583866837388,781,c,c,2470.0,2.0,2005.0,0
306,4368.86655948553,4338.5,467.87942122186496,622,a,a,5100.0,4.0,2007.0,0
307,2703.7365728900254,2602.5,307.8056265984655,782,a,a,18660.0,9.0,2002.0,0
308,9353.162760416666,8824.5,938.48046875,768,a,a,1070.0,12.0,2006.0,0
309,6971.319640564827,6414.0,591.0320924261874,779,d,a,8740.0,,,0
310,8236.363433667782,8240.0,699.670011148272,897,a,c,2290.0,,,0
311,6638.587708066581,6390.0,789.1587708066581,781,a,c,680.0,7.0,2005.0,0
312,5568.157490396927,5165.0,538.6530089628682,781,d,a,11300.0,3.0,2012.0,0
313,7075.494884910486,6763.5,707.0140664961637,782,d,c,14160.0,,,0
314,5137.715019255455,4914.0,571.2580231065468,779,a,a,3560.0,10.0,2001.0,0
315,4252.410714285715,4213.0,449.57270408163265,784,a,c,38710.0,4.0,2013.0,0
316,9855.62516046213,9297.0,901.8382541720154,779,d,a,9000.0,8.0,2001.0,0
317,5379.4855305466235,5325.0,579.3183279742765,622,d,a,3140.0,7.0,2013.0,0
318,7527.716666666666,7325.0,658.7461538461539,780,d,c,32330.0,3.0,2014.0,0
319,7787.076530612245,7648.5,843.6849489795918,784,a,c,570.0,9.0,2012.0,0
320,14834.461734693878,14064.0,2063.123724489796,784,a,c,210.0,9.0,2012.0,0
321,5958.317948717949,5933.0,585.4641025641025,780,c,c,8140.0,11.0,2013.0,0
322,5021.1726342711,4850.5,547.8670076726343,782,a,a,17500.0,4.0,2001.0,0
323,7365.359435173299,7160.0,621.1424903722722,779,d,c,8400.0,4.0,2012.0,0
324,5687.985897435898,5449.0,721.7346153846154,780,a,a,13140.0,,,0
325,6484.645699614891,6279.0,673.0603337612323,779,a,c,350.0,3.0,2011.0,0
326,5008.903722721438,4918.0,418.74197689345317,779,d,a,10070.0,5.0,2015.0,0
327,7728.242930591259,7273.0,929.4832904884319,778,c,c,1390.0,12.0,2004.0,0
328,4432.029525032092,4363.0,520.3992297817715,779,a,a,3130.0,7.0,2002.0,0
329,6912.716302952504,6724.0,620.5211810012837,779,a,a,1310.0,6.0,1990.0,0
330,4166.6379974326055,4061.0,447.5545571245186,779,a,c,370.0,,,0
331,6160.85622593068,5914.0,820.2053915275994,779,a,c,670.0,,,0
332,3728.5666666666666,3776.0,501.4974358974359,780,a,a,1840.0,3.0,2006.0,0
333,9773.190051020409,9454.5,1267.109693877551,784,a,c,3720.0,2.0,2010.0,0
334,5428.385109114249,5225.0,562.1399229781772,779,d,c,4040.0,8.0,2008.0,0
335,13313.93949044586,12442.0,2385.2823779193204,942,b,a,90.0,,,0
336,13910.661538461538,13047.5,1960.3115384615385,780,a,a,190.0,7.0,2014.0,0
337,5049.653008962868,4955.0,383.93085787451986,781,d,c,10600.0,7.0,2005.0,0
338,7217.95390524968,6875.0,624.7311139564661,781,a,c,1590.0,,,0
339,5133.638888888889,4996.5,679.3597883597884,756,a,c,2280.0,,,0
340,6485.642857142857,6175.5,715.0382653061224,784,a,c,8080.0,,,0
341,5511.534017971759,5249.0,750.1347881899871,779,a,a,190.0,9.0,2011.0,0
342,11104.138486312399,10835.0,849.7342995169082,621,d,c,15770.0,,,0
343,7199.365853658536,6781.0,702.1591784338896,779,d,a,18650.0,4.0,2004.0,0
344,8481.108418367347,7882.0,1139.4107142857142,784,a,c,300.0,4.0,2011.0,0
345,4559.585209003216,4327.0,494.37781350482317,622,a,a,120.0,,,0
346,6830.500641848524,6623.0,619.6983311938383,779,a,c,8090.0,,,0
347,4804.190476190476,4660.0,386.68468468468467,777,d,c,9360.0,7.0,2013.0,0
348,8802.97487437186,8438.0,735.5577889447236,597,a,a,16490.0,,,0
349,8159.215714285714,7956.5,829.59,700,c,c,1490.0,4.0,2009.0,0
350,7013.133162612035,6831.0,529.4135723431498,781,d,a,8880.0,,,0
351,6046.867779204108,5745.0,518.8241335044929,779,a,a,5290.0,11.0,2012.0,0
352,6692.232142857143,6455.0,636.954081632653,784,d,c,6360.0,,,0
353,5645.298603651987,5528.0,1449.5273899033298,931,b,b,900.0,,,0
354,8390.581514762516,8264.0,705.4518613607189,779,d,c,1500.0,10.0,2005.0,0
355,9148.811224489797,8940.5,1101.6632653061224,784,a,c,9720.0,8.0,2013.0,0
356,5719.281853281854,5552.0,435.8018018018018,777,d,c,8970.0,12.0,2007.0,0
357,7795.470052083333,7376.0,1017.171875,768,a,a,2060.0,10.0,2008.0,0
358,10306.111681643133,9834.0,1122.591784338896,779,a,a,2890.0,10.0,2003.0,0
359,6851.255455712452,6757.0,611.9499358151476,779,d,c,4370.0,,,0
360,6935.459183673469,6681.5,756.5408163265306,784,a,a,2040.0,6.0,2007.0,0
361,6266.883333333333,6169.5,637.8230769230769,780,c,c,4490.0,5.0,2014.0,0
362,9376.65556978233,9042.0,1150.6184379001281,781,c,c,340.0,,,0
363,7134.2002551020405,6940.5,937.0854591836735,784,a,a,250.0,9.0,2009.0,0
364,4553.114137483787,4563.0,567.6264591439689,771,a,c,13620.0,,,0
365,5440.594202898551,5383.0,587.2061191626409,621,c,a,2410.0,,,0
366,6196.76282051282,6004.5,600.9282051282051,780,d,c,6470.0,12.0,2004.0,0
367,5254.238520408163,5060.5,542.7895408163265,784,d,c,2640.0,9.0,2012.0,0
368,9686.268983268983,9022.0,712.8803088803089,777,d,c,1450.0,4.0,2005.0,0
369,6856.559539052497,6806.0,577.2855313700384,781,d,c,5870.0,4.0,2014.0,0
370,7649.643132220795,7339.0,635.6328626444159,779,d,a,8250.0,10.0,2000.0,0
371,6889.756722151088,6609.0,544.4110115236875,781,d,c,1970.0,7.0,2009.0,0
372,8786.206675224646,8347.0,759.2991014120668,779,d,c,4880.0,8.0,2010.0,0
373,4530.5032175032175,4419.0,316.5444015444015,777,d,c,11120.0,,,0
374,7009.673469387755,7028.5,829.7359693877551,784,a,a,1150.0,9.0,2007.0,0
375,9164.384615384615,8849.0,758.975641025641,780,a,c,15710.0,2.0,2013.0,0
376,8460.12015503876,7998.5,949.9612403100775,774,a,a,160.0,8.0,2012.0,0
377,7818.526785714285,7425.0,969.4145408163265,784,a,c,100.0,6.0,2010.0,0
378,6324.801026957638,5994.0,970.1566110397946,779,a,c,2140.0,8.0,2012.0,0
379,3902.220663265306,3733.0,467.5395408163265,784,d,a,6630.0,,,0
380,14456.580231065469,14049.0,1380.4557124518615,779,a,a,2240.0,5.0,2013.0,0
381,9001.555128205127,9003.0,965.1910256410256,780,a,a,1800.0,11.0,2006.0,0
382,7985.847435897436,7578.5,651.2410256410257,780,c,c,26130.0,11.0,2002.0,0
383,17294.716666666667,17039.5,2205.4474358974358,780,a,c,350.0,,,0
384,8871.575447570332,8468.0,998.8554987212276,782,a,c,130.0,,,0
385,7348.519292604502,7265.5,654.5530546623794,622,d,a,4580.0,9.0,2007.0,0
386,8029.541720154044,7388.0,645.3966623876765,779,d,c,1460.0,4.0,2014.0,0
387,9362.590078328982,8825.5,1195.8015665796345,766,c,a,210.0,,,0
388,10257.920410783056,9541.0,1096.4454428754814,779,a,a,2260.0,,,0
389,10337.401785714286,10176.0,1265.4107142857142,784,a,c,6690.0,8.0,2011.0,0
390,11568.65641025641,11037.5,1067.3897435897436,780,a,c,1600.0,4.0,2009.0,0
391,5719.555989583333,5583.0,690.5260416666666,768,a,a,460.0,11.0,2014.0,0
392,7279.428754813864,6902.0,718.0821566110397,779,a,a,2120.0,,,0
393,5903.06675224647,5693.0,587.2567394094993,779,d,c,4820.0,3.0,2008.0,0
394,8353.245838668374,8200.0,661.8719590268886,781,d,a,10850.0,,,0
395,3989.1347881899874,3906.0,519.6546854942234,779,a,a,3620.0,2.0,2013.0,0
396,10222.092307692308,9842.5,1077.9089743589743,780,a,c,23130.0,,,0
397,5574.883183568678,5116.0,750.2156611039794,779,a,c,130.0,,,0
398,5496.522959183673,5353.5,614.6160714285714,784,c,c,1540.0,,,0
399,5558.84887459807,5307.0,564.9823151125402,622,a,a,5360.0,9.0,2012.0,0
400,8745.718670076727,8094.5,1200.6496163682864,782,a,a,70.0,11.0,2004.0,0
401,7026.532051282052,6825.0,646.8448717948718,780,a,c,9200.0,10.0,2009.0,0
402,5857.991025641026,5687.0,615.4269230769231,780,c,c,5830.0,9.0,2011.0,0
403,7468.523748395379,7378.0,736.6867779204108,779,a,a,4970.0,7.0,2015.0,0
404,4785.223978919631,4674.0,571.3109354413702,759,a,c,1420.0,,,0
405,4520.699614890886,3942.0,487.70346598202826,779,a,a,1080.0,4.0,2008.0,0
406,6111.059050064185,5941.0,474.06418485237486,779,d,c,8240.0,3.0,2001.0,0
407,3886.744372990354,3805.0,314.65434083601286,622,a,a,5890.0,10.0,2003.0,0
408,4727.774774774774,4669.0,465.0617760617761,777,c,a,1560.0,,,0
409,5527.358514724712,5359.0,543.6760563380282,781,d,c,840.0,,,0
410,6443.878048780488,5954.0,802.2079589216945,779,c,a,40.0,11.0,2011.0,0
411,9133.364916773367,8794.0,700.8476312419974,781,d,c,8460.0,,,0
412,9102.122186495177,8715.5,644.7154340836013,622,d,c,4460.0,,,0
413,7058.2170418006435,6959.0,890.0192926045016,622,a,c,760.0,9.0,2014.0,0
414,6427.97695262484,6273.0,484.14084507042253,781,d,c,6210.0,,,0
415,6234.834615384615,6070.0,521.2807692307692,780,d,c,6910.0,4.0,2005.0,0
416,11012.00637755102,10534.0,1398.3890306122448,784,a,c,4650.0,6.0,2014.0,0
417,7633.281129653402,7245.0,804.002567394095,779,a,c,840.0,,,0
418,5275.851804123711,5122.5,551.5528350515464,776,a,a,1060.0,5.0,2009.0,0
419,5311.158163265306,5063.5,852.0612244897959,784,c,a,1620.0,9.0,2009.0,0
420,4540.3408360128615,4384.5,403.1897106109325,622,d,c,250.0,,,0
421,9588.251275510203,9040.0,1014.390306122449,784,c,c,3530.0,6.0,2012.0,0
422,4559.059948979592,4435.0,464.5229591836735,784,a,c,2880.0,,,0
423,10828.403397027601,10484.0,1886.1305732484077,942,b,a,1270.0,5.0,2014.0,0
424,6925.756097560976,6587.0,773.421052631579,779,d,c,1250.0,,,0
425,3237.659793814433,3153.0,434.3814432989691,776,d,c,1460.0,,,0
426,5068.396662387677,4645.0,633.839537869063,779,a,a,250.0,,,0
427,7643.243980738363,6853.0,771.0930979133226,623,a,c,70.0,7.0,2005.0,0
428,6287.5048231511255,6074.0,526.5755627009646,622,d,a,2960.0,12.0,2014.0,0
429,5321.144694533762,5139.5,429.4260450160772,622,d,c,16350.0,7.0,2005.0,0
430,8632.471061093247,8408.0,699.9131832797427,622,d,c,12870.0,10.0,2008.0,0
431,9524.926829268292,9259.0,1002.4544287548139,779,d,c,4520.0,,,0
432,10982.871173469388,11065.0,1554.7283163265306,784,a,a,810.0,5.0,2013.0,0
433,5360.865429234339,5407.0,615.7331786542924,862,a,c,30030.0,11.0,2010.0,0
434,9904.823151125402,9849.5,741.6591639871383,622,a,a,13020.0,8.0,2003.0,0
435,3277.6919127086007,3146.0,384.1630295250321,779,a,a,910.0,,,0
436,5509.484615384616,5311.5,616.7410256410257,780,d,a,2300.0,,,0
437,7366.717948717948,7019.0,726.9448717948718,780,c,c,430.0,,,0
438,5153.723076923077,4762.0,524.3269230769231,780,d,c,1110.0,,,0
439,7294.942602040816,6912.5,885.1364795918367,784,a,a,1350.0,9.0,2009.0,0
440,5156.078507078507,5002.0,588.9626769626769,777,d,a,3900.0,4.0,2005.0,0
441,6328.351732991014,6259.0,699.6534017971759,779,d,a,2530.0,,,0
442,4379.133848133848,4386.0,461.33590733590734,777,c,a,500.0,,,0
443,5251.096153846154,5021.0,488.8551282051282,780,d,a,11400.0,12.0,2005.0,0
444,12188.706563706564,11686.0,1423.1209781209782,777,c,a,1700.0,11.0,2009.0,0
445,8600.150773195875,8420.5,1356.8659793814434,776,a,a,240.0,,,0
446,4932.165596919127,4743.0,635.0564826700898,779,a,a,340.0,10.0,2000.0,0
447,5307.622448979592,5108.5,619.391581632653,784,a,c,1510.0,9.0,2013.0,0
448,8484.065468549423,8245.0,741.9216944801027,779,a,c,3970.0,9.0,2009.0,0
449,11253.74647887324,10697.0,1534.93085787452,781,a,c,120.0,12.0,2014.0,0
450,8790.513513513513,8709.0,1089.900900900901,777,c,a,5780.0,11.0,1994.0,0
451,5439.3239436619715,5254.0,458.66325224071704,781,a,a,2460.0,4.0,2009.0,0
452,5149.841836734694,5024.0,478.32525510204084,784,a,c,1850.0,8.0,2013.0,0
453,7775.446448703495,7259.0,914.5749718151071,887,a,c,75860.0,,,0
454,5794.123076923077,5863.5,706.5833333333334,780,a,a,26450.0,,,0
455,7371.391248391248,7130.0,463.23423423423424,777,d,c,7660.0,9.0,2010.0,0
456,6190.5609756097565,5833.0,895.3196405648267,779,a,c,140.0,,,0
457,4840.5530546623795,4647.5,432.6897106109325,622,d,c,13140.0,,,0
458,7582.117797695262,7427.0,702.6722151088348,781,c,a,3390.0,,,0
459,9176.75,8620.5,1130.2015306122448,784,a,a,250.0,9.0,2008.0,0
460,3736.0089743589742,3578.5,345.28076923076924,780,a,a,34050.0,4.0,2008.0,0
461,4838.66537966538,4739.0,476.5289575289575,777,d,c,1790.0,7.0,2013.0,0
462,4832.588461538461,4764.0,606.2153846153847,780,a,a,44320.0,8.0,2008.0,0
463,6094.671373555841,5939.0,969.4274711168164,779,a,a,4160.0,,,0
464,10642.683673469388,10254.0,1305.593112244898,784,c,a,520.0,3.0,2009.0,0
465,7762.806658130602,7519.0,604.6875800256082,781,d,c,10890.0,4.0,2005.0,0
466,7712.365853658536,7421.0,755.7637997432606,779,a,c,3110.0,3.0,2003.0,0
467,13480.147625160462,13007.0,1613.6508344030808,779,a,c,20390.0,4.0,2008.0,0
468,6669.660714285715,6223.5,754.5841836734694,784,c,c,5260.0,9.0,2012.0,0
469,11901.456632653062,11597.0,1520.6301020408164,784,c,c,710.0,9.0,2005.0,0
470,13111.742268041236,12840.0,1774.9703608247423,776,a,c,50.0,,,0
471,7109.752411575562,7004.0,590.2041800643087,622,d,a,5300.0,,,0
472,5204.651785714285,5051.0,692.9515306122449,784,c,c,5030.0,8.0,2011.0,0
473,3552.3016688061616,3377.0,486.5186136071887,779,a,a,50.0,,,0
474,7526.818414322251,7311.5,736.806905370844,782,c,a,14810.0,,,0
475,6473.81443298969,6386.0,981.9342783505155,776,a,a,140.0,9.0,2005.0,0
476,5851.6038461538465,5733.5,649.7987179487179,780,d,a,8300.0,9.0,2006.0,0
477,6213.688102893891,5949.5,449.887459807074,622,d,a,770.0,7.0,2010.0,0
478,6806.948979591837,6475.0,699.3928571428571,784,d,c,1940.0,3.0,2012.0,0
479,11230.879795396419,11014.5,1328.8286445012789,782,a,a,320.0,12.0,2005.0,0
480,4935.890306122449,4871.5,623.4604591836735,784,a,a,300.0,11.0,2012.0,0
481,5155.379001280409,4838.0,476.7144686299616,781,c,c,7470.0,,,0
482,8334.617647058823,8038.0,920.9066496163683,782,c,a,2550.0,10.0,2005.0,0
483,4948.424358974359,4859.5,650.0179487179487,780,a,c,2310.0,9.0,2011.0,0
484,7717.669642857143,7547.0,739.8635204081633,784,a,c,14300.0,3.0,2011.0,0
485,4871.011254019292,4734.0,420.9871382636656,622,d,c,3270.0,,,0
486,4266.7432605905005,4045.0,520.0231065468549,779,a,a,2320.0,,,0
487,6999.2997448979595,6878.5,676.7742346938776,784,d,c,2180.0,9.0,2012.0,0
488,3686.3188775510203,3519.5,388.0012755102041,784,a,c,2890.0,4.0,2014.0,0
489,7306.367948717949,6730.0,649.6294871794872,780,a,a,14960.0,11.0,2013.0,0
490,8249.728295819936,8176.5,1063.7202572347267,622,a,a,660.0,4.0,2013.0,0
491,6746.462033462033,6547.0,527.2921492921492,777,d,c,4680.0,,,0
492,7859.125407166124,7423.0,1156.2475570032573,614,a,a,1740.0,3.0,2008.0,0
493,8295.668806161746,7900.0,808.2618741976894,779,d,c,1150.0,,,0
494,7649.296178343949,7565.0,1079.6061571125265,942,b,a,1260.0,6.0,2011.0,0
495,5154.718146718146,4886.0,394.9034749034749,777,d,a,5470.0,,,0
496,7728.900510204082,7348.0,830.2525510204082,784,d,c,2780.0,6.0,2015.0,0
497,9062.122919334188,8784.0,1116.3572343149808,781,a,c,1610.0,,,0
498,6996.5337620578775,6886.5,884.5675241157556,622,a,a,990.0,,,0
499,5155.988416988417,4996.0,737.6782496782497,777,c,c,450.0,,,0
500,5354.036977491962,5242.0,395.55627009646304,622,d,c,10690.0,9.0,2007.0,0
501,5378.180064308682,5196.5,587.8102893890675,622,a,c,1620.0,9.0,2006.0,0
502,10823.524547803618,10291.0,1519.653746770026,774,a,a,220.0,2.0,2002.0,0
503,6698.198717948718,6390.0,470.5910256410256,780,d,c,13080.0,9.0,2006.0,0
504,6673.158163265306,6279.0,953.405612244898,784,c,c,820.0,,,0
505,4776.280566280566,4545.0,594.6113256113256,777,a,a,350.0,,,0
506,7581.344030808729,7019.0,841.7021822849807,779,a,a,1850.0,12.0,2014.0,0
507,8455.770218228497,8103.0,663.777920410783,779,a,c,9070.0,4.0,2011.0,0
508,6767.6997422680415,6332.0,662.5128865979382,776,a,c,1280.0,,,0
509,6125.062740076824,5748.0,518.3124199743918,781,a,a,4740.0,7.0,2008.0,0
510,8196.739409499358,8058.0,842.2002567394095,779,a,c,8260.0,,,0
511,5662.320153061224,5524.5,810.5982142857143,784,a,a,2060.0,9.0,2009.0,0
512,5510.978523489933,5325.0,1287.971812080537,745,b,b,590.0,,,0
513,18179.089285714286,17787.0,2096.3354591836733,784,a,a,400.0,8.0,2013.0,0
514,5756.009646302251,5351.0,603.9662379421222,622,c,c,1200.0,7.0,2012.0,0
515,9058.152759948653,8964.0,738.3080872913993,779,d,c,11260.0,,,0
516,5879.084724005134,5451.0,760.5481386392811,779,a,c,20.0,,,0
517,5962.438735177866,5658.0,650.9222661396575,759,a,c,22490.0,,,0
518,5865.123595505618,5793.0,504.3097913322632,623,d,c,3330.0,3.0,2015.0,0
519,5306.320153061224,5115.5,559.0765306122449,784,c,c,2510.0,8.0,2009.0,0
520,3869.7321428571427,3720.0,413.0573979591837,784,a,c,6900.0,,,0
521,5181.014120667523,5052.0,426.4929396662388,779,d,a,18610.0,11.0,2002.0,0
522,8222.889245585875,8078.0,633.0224719101124,623,d,c,7160.0,11.0,2012.0,0
523,15530.605867346938,14973.0,1782.9119897959183,784,c,c,50.0,11.0,2013.0,0
524,7710.819523269012,7681.0,818.5017026106697,881,a,c,40860.0,9.0,2013.0,0
525,10233.026819923372,10108.0,875.5670498084291,783,d,c,1870.0,9.0,2013.0,0
526,10630.231457800512,9986.0,1456.700767263427,782,a,a,120.0,,,0
527,10734.693982074265,10481.0,1000.4903969270166,781,d,c,5830.0,4.0,2008.0,0
528,10704.444159178434,10083.0,955.4492939666238,779,a,c,20620.0,,,0
529,7823.783163265306,7531.5,761.1926020408164,784,d,c,12920.0,9.0,2012.0,0
530,4634.323399558499,4425.0,750.8057395143488,906,a,c,18160.0,,,0
531,4901.934948979592,4744.5,600.6071428571429,784,a,c,4030.0,,,0
532,10894.865211810013,10740.0,1278.9075738125803,779,a,c,1070.0,8.0,2010.0,0
533,9659.648648648648,9169.0,902.2316602316603,777,a,c,5950.0,,,0
534,7519.556982343499,7253.0,568.6966292134831,623,d,a,1200.0,9.0,2009.0,0
535,8115.771501925546,7826.0,922.6136071887034,779,a,a,3570.0,4.0,2007.0,0
536,8323.613607188703,7946.0,883.0346598202824,779,a,c,4700.0,9.0,2002.0,0
537,5580.178893178893,5307.0,604.2329472329473,777,a,a,600.0,5.0,2002.0,0
538,3859.0242346938776,3765.0,567.9247448979592,784,a,a,990.0,2.0,2010.0,0
539,11310.963022508038,11209.5,1142.2797427652733,622,a,a,770.0,5.0,2013.0,0
540,5648.990353697749,5314.0,391.3118971061093,622,d,c,810.0,,,0
541,6720.812580231065,6259.0,857.0834403080873,779,a,c,650.0,7.0,1990.0,0
542,6246.641479099679,5986.5,531.6398713826367,622,a,a,7280.0,9.0,2012.0,0
543,2790.3802816901407,2293.0,240.18309859154928,781,c,a,1080.0,12.0,2012.0,0
544,14094.498717948718,13180.0,1845.071794871795,780,a,a,250.0,12.0,2001.0,0
545,10635.256739409499,9790.0,1026.8177150192555,779,a,c,5020.0,5.0,2006.0,0
546,13681.53443877551,13292.5,1621.279336734694,784,a,a,580.0,1.0,2005.0,0
547,5752.490353697749,5611.0,442.2475884244373,622,d,c,8990.0,11.0,2009.0,0
548,5066.426527958388,4729.0,400.4005201560468,769,d,c,3760.0,2.0,2009.0,0
549,4642.716836734694,4576.5,547.7130102040817,784,a,c,2330.0,,,0
550,5973.627400768246,5866.0,496.6491677336748,781,d,c,50.0,6.0,2015.0,0
551,6559.378826530612,6206.0,987.7423469387755,784,a,c,2190.0,9.0,2013.0,0
552,7721.866837387965,6621.0,689.8962868117798,781,a,a,4260.0,7.0,2008.0,0
553,7038.598455598456,6648.0,638.7464607464608,777,c,a,3040.0,9.0,2002.0,0
554,4481.014030612245,4370.5,546.015306122449,784,c,c,1200.0,,,0
555,5173.860353130016,5000.0,479.0256821829856,623,d,a,1560.0,1.0,2014.0,0
556,7178.753512132823,6744.0,830.7241379310345,783,d,c,1140.0,11.0,2014.0,0
557,4383.079691516709,4085.5,676.0167095115681,778,a,a,250.0,,,0
558,3241.5242346938776,3145.5,453.02933673469386,784,a,a,3000.0,2.0,2010.0,0
